frame_index,class,p10,p11,p20,p21
5880,2,986,586,1018,625
5880,3,1219,393,1263,430
5880,4,977,608,1013,652
5881,0,1004,615,1031,649
5881,1,855,595,889,636
5881,2,986,586,1018,625
5881,3,1214,395,1258,432
5881,4,977,608,1013,652
5882,0,1004,615,1031,649
5882,1,855,595,889,636
5882,2,986,586,1018,625
5882,3,1210,397,1254,434
5882,4,977,608,1013,652
5883,0,1004,615,1031,649
5883,1,855,595,889,636
5883,2,986,586,1018,625
5883,3,1205,400,1249,437
5883,4,977,608,1013,652
5884,0,1004,615,1031,649
5884,1,855,595,889,636
5884,2,986,586,1018,625
5884,3,1200,403,1244,439
5884,4,977,608,1013,652
5885,0,1004,615,1031,649
5885,1,855,595,889,636
5885,2,986,586,1018,625
5885,3,1195,405,1239,441
5885,4,977,608,1013,652
5886,0,1004,615,1031,649
5886,1,855,595,889,636
5886,2,986,586,1018,625
5886,3,1190,407,1234,443
5886,4,977,608,1013,652
5887,0,1004,615,1031,649
5887,1,855,595,889,636
5887,2,986,586,1018,625
5887,3,1187,409,1230,445
5887,4,977,608,1013,652
5888,0,1004,615,1031,649
5888,1,855,595,889,636
5888,2,986,586,1018,625
5888,3,1182,412,1225,447
5888,4,977,608,1013,652
5889,0,1004,615,1031,649
5889,1,855,595,889,636
5889,2,986,586,1018,625
5889,3,1177,415,1220,450
5889,4,977,608,1013,652
5890,0,1004,615,1031,649
5890,1,855,595,889,636
5890,2,986,586,1018,625
5890,3,1173,417,1215,452
5890,4,977,608,1013,652
5891,0,1004,615,1031,649
5891,1,855,595,889,636
5891,2,986,586,1018,625
5891,3,1168,420,1210,454
5891,4,977,608,1013,652
5892,0,1004,615,1031,649
5892,1,855,595,889,636
5892,2,987,586,1019,625
5892,3,1163,422,1205,456
5892,4,977,608,1013,652
5893,0,1004,615,1031,649
5893,1,855,595,889,636
5893,2,987,585,1019,624
5893,3,1159,424,1200,458
5893,4,977,608,1013,652
5894,0,1004,615,1031,649
5894,1,855,595,889,636
5894,2,987,584,1019,624
5894,3,1155,427,1195,460
5894,4,977,608,1013,652
5895,0,1004,615,1031,649
5895,1,855,595,889,636
5895,2,987,584,1019,624
5895,3,1150,429,1190,462
5895,4,977,608,1013,652
5896,0,1004,615,1031,649
5896,1,855,595,889,636
5896,2,987,584,1019,624
5896,3,1145,432,1184,464
5896,4,977,608,1013,652
5897,0,1004,615,1031,649
5897,1,855,595,889,636
5897,2,987,584,1019,624
5897,3,1141,434,1179,466
5897,4,977,608,1013,652
5898,0,1004,615,1031,649
5898,1,855,595,889,636
5898,2,987,584,1019,624
5898,3,1137,437,1174,468
5898,4,977,608,1013,652
5899,0,1004,615,1031,649
5899,1,855,595,889,636
5899,2,987,584,1019,624
5899,3,1132,439,1169,470
5899,4,977,608,1013,652
5900,0,1004,615,1031,649
5900,1,855,595,889,636
5900,2,987,584,1019,624
5900,3,1128,442,1164,472
5900,4,977,608,1013,652
5901,0,1004,615,1031,649
5901,1,855,595,889,636
5901,2,987,584,1019,624
5901,3,1124,444,1159,474
5901,4,977,608,1013,652
5902,0,1004,615,1031,649
5902,1,855,595,889,636
5902,2,987,584,1019,624
5902,3,1118,448,1154,477
5902,4,977,608,1013,652
5903,0,1004,615,1031,649
5903,1,855,595,889,636
5903,2,987,584,1019,624
5903,3,1113,450,1150,479
5903,4,977,608,1013,652
5904,0,1004,615,1031,649
5904,1,855,595,889,636
5904,2,986,584,1019,624
5904,3,1108,452,1145,481
5904,4,977,608,1013,652
5905,0,1004,615,1031,649
5905,1,855,595,889,636
5905,2,987,584,1020,624
5905,3,1103,454,1141,484
5905,4,977,608,1013,652
5906,0,1004,615,1031,649
5906,1,855,595,889,636
5906,2,987,584,1020,624
5906,3,1098,456,1136,487
5906,4,977,608,1013,652
5907,0,1004,615,1031,649
5907,1,855,595,889,636
5907,2,987,584,1020,624
5907,3,1093,458,1132,490
5907,4,977,608,1013,652
5908,0,1004,615,1031,649
5908,1,855,595,889,636
5908,2,987,584,1020,624
5908,3,1088,459,1127,492
5908,4,977,608,1013,652
5909,0,1004,615,1031,649
5909,1,855,595,889,636
5909,2,987,584,1020,624
5909,3,1083,461,1122,495
5909,4,977,608,1013,652
5910,0,1004,615,1031,649
5910,1,855,595,889,636
5910,2,987,583,1020,624
5910,3,1079,463,1118,498
5910,4,977,608,1013,652
5911,0,1004,615,1031,649
5911,1,855,595,889,636
5911,2,987,583,1020,624
5911,3,1074,465,1113,501
5911,4,977,608,1013,652
5912,0,1004,615,1031,649
5912,1,855,595,889,636
5912,2,987,583,1020,624
5912,3,1069,466,1108,503
5912,4,977,608,1013,652
5913,0,1004,615,1031,649
5913,1,855,595,889,636
5913,2,987,583,1020,624
5913,3,1064,469,1103,506
5913,4,977,608,1013,652
5914,0,1004,615,1031,649
5914,1,855,595,889,636
5914,2,987,583,1020,624
5914,3,1060,471,1099,509
5914,4,977,608,1013,652
5915,0,1004,615,1031,649
5915,1,855,595,889,636
5915,2,987,583,1020,624
5915,3,1055,472,1094,511
5915,4,977,608,1013,652
5916,0,1004,615,1031,649
5916,1,855,595,889,636
5916,2,987,583,1020,624
5916,3,1050,475,1089,514
5916,4,977,608,1013,652
5917,0,1004,615,1031,649
5917,1,855,595,889,636
5917,2,987,583,1020,624
5917,3,1046,477,1084,517
5917,4,977,608,1013,652
5918,0,1004,615,1031,649
5918,1,855,595,889,636
5918,2,988,583,1021,624
5918,3,1041,478,1079,519
5918,4,977,608,1013,652
5919,0,1004,615,1031,649
5919,1,855,595,889,636
5919,2,988,583,1021,624
5919,3,1037,481,1074,522
5919,4,977,608,1013,652
5920,0,1004,615,1031,649
5920,1,855,595,889,636
5920,2,988,583,1021,624
5920,3,1032,482,1069,524
5920,4,977,608,1013,652
5921,0,1004,615,1031,649
5921,1,855,595,889,636
5921,2,988,583,1021,624
5921,3,1028,485,1064,527
5921,4,977,608,1013,652
5922,0,1004,615,1031,649
5922,1,855,595,889,636
5922,2,988,583,1021,624
5922,3,1024,487,1059,529
5922,4,977,608,1013,652
5923,0,1004,615,1031,649
5923,1,855,595,889,636
5923,2,988,583,1021,624
5923,3,1019,489,1054,531
5923,4,977,608,1013,652
5924,0,1004,615,1031,649
5924,1,855,595,889,636
5924,2,988,583,1021,624
5924,3,1014,491,1049,534
5924,4,977,608,1013,652
5925,0,1004,615,1031,649
5925,1,855,595,889,636
5925,2,988,583,1021,624
5925,3,1009,493,1045,536
5925,4,977,608,1013,652
5926,0,1004,615,1031,649
5926,1,855,595,889,636
5926,2,988,582,1021,624
5926,3,1004,496,1041,539
5926,4,977,608,1013,652
5927,0,1004,615,1031,649
5927,1,855,595,889,636
5927,2,988,582,1021,624
5927,3,998,498,1036,541
5927,4,977,608,1013,652
5928,0,1004,615,1031,649
5928,1,855,595,889,636
5928,2,988,582,1021,624
5928,3,994,500,1032,543
5928,4,977,608,1013,652
5929,0,1004,615,1031,649
5929,1,855,595,889,636
5929,2,988,582,1021,624
5929,3,988,502,1027,545
5929,4,977,608,1013,652
5930,0,1004,615,1031,649
5930,1,855,595,889,636
5930,2,988,582,1021,624
5930,3,983,505,1023,547
5930,4,977,608,1013,652
5931,0,1004,615,1031,649
5931,1,855,595,889,636
5931,2,989,582,1022,624
5931,3,978,508,1018,550
5931,4,977,608,1013,652
5932,0,1004,615,1031,649
5932,1,855,595,889,636
5932,2,989,582,1022,624
5932,3,973,510,1014,552
5932,4,977,608,1013,652
5933,0,1004,615,1031,649
5933,1,855,595,889,636
5933,2,989,582,1022,624
5933,3,968,513,1009,554
5933,4,977,608,1013,652
5934,0,1004,615,1031,649
5934,1,855,595,889,636
5934,2,989,582,1022,624
5934,3,964,515,1005,556
5934,4,977,608,1013,652
5935,0,1004,615,1031,649
5935,1,855,595,889,636
5935,2,988,582,1022,624
5935,3,958,517,1000,558
5935,4,977,608,1013,652
5936,0,1004,615,1031,649
5936,1,855,595,889,636
5936,2,988,582,1022,624
5936,3,953,520,995,560
5936,4,977,608,1013,652
5937,0,1004,615,1031,649
5937,1,855,595,889,636
5937,2,988,582,1022,624
5937,3,949,523,991,562
5937,4,977,608,1013,652
5938,0,1004,615,1031,649
5938,1,855,595,889,636
5938,2,988,582,1022,624
5938,3,944,525,986,564
5938,4,977,608,1013,652
5939,0,1004,615,1031,649
5939,1,855,595,889,636
5939,2,988,582,1022,624
5939,3,939,528,981,566
5939,4,977,608,1013,652
5940,0,1004,615,1031,649
5940,1,855,595,889,636
5940,2,988,582,1022,624
5940,3,934,531,976,568
5940,4,977,608,1013,652
5941,0,1004,615,1031,649
5941,1,855,595,889,636
5941,2,988,581,1022,624
5941,3,929,534,971,570
5941,4,977,608,1013,652
5942,0,1004,615,1031,649
5942,1,855,595,889,636
5942,2,988,581,1022,624
5942,3,925,536,967,571
5942,4,977,608,1013,652
5943,0,1004,615,1031,649
5943,1,855,595,889,636
5943,2,989,581,1023,624
5943,3,921,539,962,573
5943,4,977,608,1013,652
5944,0,1004,615,1031,649
5944,1,855,595,889,636
5944,2,989,581,1023,624
5944,3,916,541,957,575
5944,4,977,608,1013,652
5945,0,1004,615,1031,649
5945,1,855,595,889,636
5945,2,989,581,1023,624
5945,3,911,544,952,578
5945,4,977,608,1013,652
5946,0,1004,615,1031,649
5946,1,855,595,889,636
5946,2,989,581,1023,624
5946,3,907,546,947,581
5946,4,977,608,1013,652
5947,0,1004,615,1031,649
5947,1,855,595,889,636
5947,2,989,581,1023,624
5947,3,902,548,942,583
5947,4,977,608,1013,652
5948,0,1004,615,1031,649
5948,1,855,595,889,636
5948,2,989,581,1023,624
5948,3,898,550,937,585
5948,4,977,608,1013,652
5949,0,1004,615,1031,649
5949,1,855,595,889,636
5949,2,989,581,1023,624
5949,3,893,552,931,588
5949,4,977,608,1013,652
5950,0,1004,615,1031,649
5950,1,855,595,889,636
5950,2,989,581,1023,624
5950,3,888,554,926,590
5950,4,977,608,1013,652
5951,0,1004,615,1031,649
5951,1,855,595,889,636
5951,2,989,581,1023,624
5951,3,884,557,921,593
5951,4,977,608,1013,652
5952,0,1004,615,1031,649
5952,1,855,595,889,636
5952,2,989,581,1023,624
5952,3,880,559,916,595
5952,4,977,608,1013,652
5953,0,1004,615,1031,649
5953,1,855,595,889,636
5953,2,989,581,1023,624
5953,3,876,561,911,597
5953,4,977,608,1013,652
5954,0,1004,615,1031,649
5954,1,855,595,889,636
5954,2,989,581,1023,624
5954,3,871,563,905,599
5954,4,977,608,1013,652
5955,0,1004,615,1031,649
5955,1,855,595,889,636
5955,2,990,581,1024,624
5955,3,867,566,900,601
5955,4,977,608,1013,652
5956,0,1004,615,1031,649
5956,1,855,595,889,636
5956,2,990,581,1024,624
5956,3,863,569,895,604
5956,4,977,608,1013,652
5957,0,1004,615,1031,649
5957,1,855,595,889,636
5957,2,990,580,1024,624
5957,3,858,571,889,606
5957,4,977,608,1013,652
5958,0,1004,615,1031,649
5958,1,855,595,889,636
5958,2,990,580,1024,624
5958,3,854,574,885,608
5958,4,977,608,1013,652
5959,0,1004,615,1031,649
5959,1,855,595,889,636
5959,2,990,580,1024,624
5959,3,854,574,885,608
5959,4,977,608,1013,652
5960,1,850,604,891,645
5960,3,853,571,887,604
5960,0,1004,615,1031,649
5960,2,990,580,1024,624
5960,4,977,608,1013,652
5961,1,850,604,891,645
5961,3,853,571,887,604
5961,0,1004,615,1031,649
5961,2,990,580,1024,624
5961,4,977,608,1013,652
5962,1,850,604,891,645
5962,3,853,571,887,604
5962,0,1004,615,1031,649
5962,2,990,580,1024,624
5962,4,977,608,1013,652
5963,1,850,604,891,645
5963,3,853,571,887,604
5963,0,1004,615,1031,649
5963,2,990,580,1024,624
5963,4,977,608,1013,652
5964,1,850,604,891,645
5964,3,853,571,887,604
5964,0,1004,615,1031,649
5964,2,990,580,1024,624
5964,4,977,608,1013,652
5965,1,850,604,891,645
5965,3,853,571,887,604
5965,0,1004,615,1031,649
5965,2,990,580,1024,624
5965,4,977,608,1013,652
5966,1,850,604,891,645
5966,3,853,571,887,604
5966,0,1004,615,1031,649
5966,2,990,580,1024,624
5966,4,977,608,1013,652
5967,1,850,604,891,645
5967,3,853,571,887,604
5967,0,1004,615,1031,649
5967,2,990,580,1024,624
5967,4,977,608,1013,652
5968,1,850,604,891,645
5968,3,853,571,887,604
5968,0,1004,615,1031,649
5968,2,990,580,1024,624
5968,4,977,608,1013,652
5969,1,850,604,891,645
5969,3,853,571,887,604
5969,0,1004,615,1031,649
5969,2,990,580,1024,624
5969,4,977,608,1013,652
5970,1,850,604,891,645
5970,3,853,571,887,604
5970,0,1004,615,1031,649
5970,2,990,580,1024,624
5970,4,977,608,1013,652
5971,1,850,604,891,645
5971,3,853,571,887,604
5971,0,1004,615,1031,649
5971,2,990,580,1024,624
5971,4,977,608,1013,652
5972,1,850,596,891,637
5972,3,853,571,887,604
5972,0,1004,615,1031,649
5972,2,990,580,1024,624
5972,4,977,608,1013,652
5973,1,850,596,891,637
5973,3,853,571,887,604
5973,0,1004,615,1031,649
5973,2,990,580,1024,624
5973,4,977,608,1013,652
5974,1,850,596,891,637
5974,3,853,571,887,604
5974,0,1004,615,1031,649
5974,2,990,580,1024,624
5974,4,977,608,1013,652
5975,1,850,596,891,637
5975,3,853,571,887,604
5975,0,1004,615,1031,649
5975,2,990,580,1024,624
5975,4,977,608,1013,652
5976,1,850,596,891,637
5976,3,853,571,887,604
5976,0,1004,615,1031,649
5976,2,990,580,1024,624
5976,4,977,608,1013,652
5977,1,850,596,891,637
5977,3,853,571,887,604
5977,0,1004,615,1031,649
5977,2,990,580,1024,624
5977,4,977,608,1013,652
5978,0,1004,615,1031,649
5978,1,850,596,891,637
5978,2,990,580,1024,624
5978,3,853,571,887,604
5978,4,977,608,1013,652
5979,0,1004,615,1031,649
5979,1,850,596,891,637
5979,2,990,580,1024,624
5979,3,853,571,887,604
5979,4,977,608,1013,652
5980,0,1004,615,1031,649
5980,1,850,596,891,637
5980,2,990,580,1024,624
5980,3,853,571,887,604
5980,4,977,608,1013,652
5981,0,1004,615,1031,649
5981,1,850,596,891,637
5981,2,990,580,1024,624
5981,3,853,571,887,604
5981,4,977,608,1013,652
5982,0,1004,615,1031,649
5982,1,850,596,891,637
5982,2,990,580,1024,624
5982,3,854,571,887,604
5982,4,977,608,1013,652
5983,0,1004,615,1031,649
5983,1,850,596,891,637
5983,2,990,580,1024,624
5983,3,854,571,887,604
5983,4,977,608,1013,652
5984,0,1004,615,1031,649
5984,1,850,596,891,637
5984,2,990,580,1024,624
5984,3,854,571,887,604
5984,4,977,608,1013,652
5985,0,1004,615,1031,649
5985,1,849,596,890,637
5985,2,990,580,1024,624
5985,3,854,571,887,604
5985,4,977,608,1013,652
5986,0,1004,615,1031,649
5986,1,849,596,890,637
5986,2,990,580,1024,624
5986,3,854,571,887,604
5986,4,977,608,1013,652
5987,0,1004,615,1031,649
5987,1,849,596,890,637
5987,2,990,580,1024,624
5987,3,854,571,887,604
5987,4,977,608,1013,652
5988,0,1004,615,1031,649
5988,1,849,596,890,637
5988,2,990,580,1024,624
5988,3,854,571,887,604
5988,4,977,608,1013,652
5989,0,1004,615,1031,649
5989,1,849,596,890,637
5989,2,990,580,1024,624
5989,3,854,571,887,604
5989,4,977,608,1013,652
5990,0,1004,615,1031,649
5990,1,849,596,890,637
5990,2,990,580,1024,624
5990,3,854,571,887,604
5990,4,977,608,1013,652
5991,0,1004,615,1031,649
5991,1,849,596,890,637
5991,2,990,580,1024,624
5991,3,854,571,887,604
5991,4,977,608,1013,652
5992,0,1004,615,1031,649
5992,1,849,596,890,637
5992,2,990,580,1024,624
5992,3,854,571,887,604
5992,4,977,608,1013,652
5993,0,1004,615,1031,649
5993,1,849,596,890,637
5993,2,990,580,1024,624
5993,3,854,571,887,604
5993,4,977,608,1013,652
5994,0,1004,615,1031,649
5994,1,849,596,890,637
5994,2,990,580,1024,624
5994,3,854,571,887,604
5994,4,977,608,1013,652
5995,0,1004,615,1031,649
5995,1,849,596,890,637
5995,2,990,580,1024,624
5995,3,854,571,887,604
5995,4,977,608,1013,652
5996,0,1004,615,1031,649
5996,1,849,596,890,637
5996,2,990,580,1024,624
5996,3,854,571,887,604
5996,4,977,608,1013,652
5997,0,1004,615,1031,649
5997,1,849,596,890,637
5997,2,990,580,1024,624
5997,3,854,571,887,604
5997,4,977,608,1013,652
5998,0,1004,615,1031,649
5998,1,849,596,890,637
5998,2,990,580,1024,624
5998,3,854,571,887,604
5998,4,977,608,1013,652
5999,0,1004,615,1031,649
5999,1,849,596,890,637
5999,2,990,580,1024,624
5999,3,854,571,887,604
5999,4,977,608,1013,652
6000,0,1004,615,1031,649
6000,1,849,596,890,637
6000,2,990,580,1024,624
6000,3,854,571,887,604
6000,4,977,608,1013,652
6001,0,1004,615,1031,649
6001,1,850,596,890,637
6001,2,990,580,1024,624
6001,3,854,571,887,604
6001,4,977,608,1013,652
6002,0,1004,615,1031,649
6002,1,850,596,890,637
6002,2,990,580,1024,624
6002,3,854,571,887,604
6002,4,977,608,1013,652
6003,0,1004,615,1031,649
6003,1,850,596,890,637
6003,2,990,580,1024,624
6003,3,854,571,887,604
6003,4,977,608,1013,652
6004,0,1004,615,1031,649
6004,1,850,596,890,637
6004,2,990,580,1024,624
6004,3,854,571,887,604
6004,4,977,608,1013,652
6005,0,1004,615,1031,649
6005,1,850,596,890,637
6005,2,990,580,1024,624
6005,3,854,571,887,604
6005,4,977,608,1013,652
6006,0,1004,615,1031,649
6006,1,850,596,890,637
6006,2,990,580,1024,624
6006,3,854,571,887,604
6006,4,977,608,1013,652
6007,0,1004,615,1031,649
6007,1,850,596,890,637
6007,2,990,580,1024,624
6007,3,854,571,887,604
6007,4,977,608,1013,652
6008,0,1004,615,1031,649
6008,1,850,596,890,637
6008,2,990,580,1024,624
6008,3,854,571,887,604
6008,4,977,608,1013,652
6009,0,1004,615,1031,649
6009,1,850,596,890,637
6009,2,990,580,1024,624
6009,3,854,571,887,604
6009,4,977,608,1013,652
6010,0,1004,615,1031,649
6010,1,850,596,890,637
6010,2,990,580,1024,624
6010,3,854,572,887,605
6010,4,977,608,1013,652
6011,0,1004,615,1031,649
6011,1,850,596,890,637
6011,2,990,580,1024,624
6011,3,854,572,887,605
6011,4,977,608,1013,652
6012,0,1004,615,1031,649
6012,1,850,596,890,637
6012,2,990,580,1024,624
6012,3,854,572,887,605
6012,4,977,608,1013,652
6013,0,1004,615,1031,649
6013,1,850,596,890,637
6013,2,990,580,1024,624
6013,3,854,572,887,605
6013,4,977,608,1013,652
6014,0,1004,615,1031,649
6014,1,850,596,890,637
6014,2,990,580,1024,624
6014,3,854,572,887,605
6014,4,977,608,1013,652
6015,0,1004,615,1031,649
6015,1,850,596,890,637
6015,2,990,580,1024,624
6015,3,854,572,887,605
6015,4,977,608,1013,652
6016,0,1004,615,1031,649
6016,1,850,596,890,637
6016,2,990,580,1024,624
6016,3,854,572,887,605
6016,4,977,608,1013,652
6017,0,1004,615,1031,649
6017,1,850,596,890,637
6017,2,990,580,1024,624
6017,3,854,572,887,605
6017,4,977,608,1013,652
6018,0,1004,615,1031,649
6018,1,850,596,890,637
6018,2,990,580,1024,624
6018,3,854,572,887,605
6018,4,977,608,1013,652
6019,0,1004,615,1031,649
6019,1,850,595,890,637
6019,2,990,580,1024,624
6019,3,854,572,887,605
6019,4,977,608,1013,652
6020,0,1004,615,1031,649
6020,1,850,595,890,637
6020,2,990,580,1024,624
6020,3,854,572,887,605
6020,4,977,608,1013,652
6021,0,1004,615,1031,649
6021,1,850,595,890,637
6021,2,990,580,1024,624
6021,3,854,572,887,605
6021,4,977,608,1013,652
6022,0,1004,615,1031,649
6022,1,850,595,890,637
6022,2,990,580,1024,624
6022,3,854,572,887,605
6022,4,977,608,1013,652
6023,0,1004,615,1031,649
6023,1,850,595,890,637
6023,2,990,580,1024,624
6023,3,854,572,887,605
6023,4,977,608,1013,652
6024,0,1004,615,1031,649
6024,1,850,595,890,637
6024,2,990,580,1024,624
6024,3,854,572,887,605
6024,4,977,608,1013,652
6025,0,1004,615,1031,649
6025,1,850,595,890,637
6025,2,990,580,1024,624
6025,3,854,572,887,605
6025,4,977,608,1013,652
6026,0,1004,615,1031,649
6026,1,850,595,890,637
6026,2,990,580,1024,624
6026,3,854,572,887,605
6026,4,977,608,1013,652
6027,0,1004,615,1031,649
6027,1,850,595,890,637
6027,2,990,580,1024,624
6027,3,854,572,887,605
6027,4,977,608,1013,652
6028,0,1004,615,1031,649
6028,1,850,595,890,637
6028,2,990,580,1024,624
6028,3,854,572,887,605
6028,4,977,608,1013,652
6029,0,1004,615,1031,649
6029,1,850,595,890,637
6029,2,990,580,1024,624
6029,3,854,572,887,605
6029,4,977,608,1013,652
6030,0,1004,615,1031,649
6030,1,850,595,890,637
6030,2,990,580,1024,624
6030,3,854,572,887,605
6030,4,977,608,1013,652
6031,0,1004,615,1031,649
6031,1,850,595,890,637
6031,2,990,580,1024,624
6031,3,854,572,887,605
6031,4,977,608,1013,652
6032,0,1004,615,1031,649
6032,1,850,595,890,637
6032,2,990,580,1024,624
6032,3,854,572,887,605
6032,4,977,608,1013,652
6033,0,1004,615,1031,649
6033,1,850,595,890,637
6033,2,990,580,1024,624
6033,3,854,572,887,605
6033,4,977,608,1013,652
6034,0,1004,615,1031,649
6034,1,850,595,890,637
6034,2,990,580,1024,624
6034,3,854,572,887,605
6034,4,977,608,1013,652
6035,0,1004,615,1031,649
6035,1,851,595,890,637
6035,2,990,580,1024,624
6035,3,854,572,887,605
6035,4,977,608,1013,652
6036,0,1004,615,1031,649
6036,1,851,595,890,637
6036,2,990,580,1024,624
6036,3,854,572,887,605
6036,4,977,608,1013,652
6037,0,1004,615,1031,649
6037,1,851,595,890,637
6037,2,990,580,1024,624
6037,3,854,572,887,605
6037,4,977,608,1013,652
6038,0,1004,615,1031,649
6038,1,851,595,890,637
6038,2,990,580,1024,624
6038,3,854,572,887,605
6038,4,977,608,1013,652
6039,0,1004,615,1031,649
6039,1,851,595,890,637
6039,2,990,580,1024,624
6039,3,854,572,887,605
6039,4,977,608,1013,652
6040,0,1004,615,1031,649
6040,1,851,595,890,637
6040,2,990,580,1024,624
6040,3,854,572,887,605
6040,4,977,608,1013,652
6041,0,1004,615,1031,649
6041,1,851,595,890,637
6041,2,990,580,1024,624
6041,3,854,572,887,605
6041,4,977,608,1013,652
6042,0,1004,615,1031,649
6042,1,851,595,890,637
6042,2,990,580,1024,624
6042,3,854,572,887,605
6042,4,977,608,1013,652
6043,0,1004,615,1031,649
6043,1,851,595,890,637
6043,2,990,580,1024,624
6043,3,854,572,887,605
6043,4,977,608,1013,652
6044,0,1004,615,1031,649
6044,1,851,595,890,637
6044,2,990,580,1024,624
6044,3,854,572,887,605
6044,4,977,608,1013,652
6045,0,1004,615,1031,649
6045,1,851,595,890,637
6045,2,990,580,1024,624
6045,3,854,572,887,605
6045,4,977,608,1013,652
6046,0,1004,615,1031,649
6046,1,851,595,890,637
6046,2,990,580,1024,624
6046,3,854,572,887,605
6046,4,977,608,1013,652
6047,0,1004,615,1031,649
6047,1,851,595,890,637
6047,2,990,580,1024,624
6047,3,854,572,887,605
6047,4,977,608,1013,652
6048,0,1004,615,1031,649
6048,1,851,595,890,637
6048,2,990,580,1024,624
6048,3,854,572,887,605
6048,4,977,608,1013,652
6049,0,1004,615,1031,649
6049,1,851,595,890,637
6049,2,990,580,1024,624
6049,3,854,572,887,605
6049,4,977,608,1013,652
6050,0,1004,615,1031,649
6050,1,851,595,890,637
6050,2,990,580,1024,624
6050,3,854,572,887,605
6050,4,977,608,1013,652
6051,0,1004,615,1031,649
6051,1,851,595,890,637
6051,2,990,580,1024,624
6051,3,854,572,887,605
6051,4,977,608,1013,652
6052,0,1004,615,1031,649
6052,1,851,595,890,637
6052,2,990,580,1024,624
6052,3,854,572,887,605
6052,4,977,608,1013,652
6053,0,1004,615,1031,649
6053,1,851,595,890,637
6053,2,990,580,1024,624
6053,3,854,572,887,605
6053,4,977,608,1013,652
6054,0,1004,615,1031,649
6054,1,851,595,890,637
6054,2,990,580,1024,624
6054,3,854,572,887,605
6054,4,977,608,1013,652
6055,0,1004,615,1031,649
6055,1,851,595,890,637
6055,2,990,580,1024,624
6055,3,853,572,886,605
6055,4,977,608,1013,652
6056,0,1004,615,1031,649
6056,1,851,595,890,637
6056,2,990,580,1024,624
6056,3,853,572,886,605
6056,4,977,608,1013,652
6057,0,1004,615,1031,649
6057,1,851,595,890,637
6057,2,990,580,1024,624
6057,3,853,572,886,605
6057,4,977,608,1013,652
6058,0,1004,615,1031,649
6058,1,851,595,890,637
6058,2,990,580,1024,624
6058,3,853,572,886,605
6058,4,977,608,1013,652
6059,0,1004,615,1031,649
6059,1,851,595,890,637
6059,2,990,580,1024,624
6059,3,853,572,886,605
6059,4,977,608,1013,652
6060,0,1004,615,1031,649
6060,1,851,595,890,637
6060,2,990,580,1024,624
6060,3,853,572,886,605
6060,4,977,608,1013,652
6061,0,1004,615,1031,649
6061,1,851,595,890,637
6061,2,990,580,1024,624
6061,3,853,572,886,605
6061,4,977,608,1013,652
6062,0,1004,615,1031,649
6062,1,851,595,890,637
6062,2,990,580,1024,624
6062,3,853,572,886,605
6062,4,977,608,1013,652
6063,0,1004,615,1031,649
6063,1,851,595,890,637
6063,2,990,580,1024,624
6063,3,853,571,886,605
6063,4,977,608,1013,652
6064,0,1004,615,1031,649
6064,1,851,595,890,637
6064,2,990,580,1024,624
6064,3,853,571,886,605
6064,4,977,608,1013,652
6065,0,1004,615,1031,649
6065,1,851,595,890,637
6065,2,990,580,1024,624
6065,3,853,571,886,605
6065,4,977,608,1013,652
6066,0,1004,615,1031,649
6066,1,851,595,890,637
6066,2,990,580,1024,624
6066,3,853,572,886,606
6066,4,977,608,1013,652
6067,0,1004,615,1031,649
6067,1,851,595,890,637
6067,2,990,580,1024,624
6067,3,853,572,886,606
6067,4,977,608,1013,652
6068,0,1004,615,1031,649
6068,1,851,595,890,637
6068,2,990,580,1024,624
6068,3,853,572,886,606
6068,4,977,608,1013,652
6069,0,1004,615,1031,649
6069,1,851,595,890,637
6069,2,990,580,1024,624
6069,3,853,572,886,606
6069,4,977,608,1013,652
6070,0,1004,615,1031,649
6070,1,851,595,890,637
6070,2,990,580,1024,624
6070,3,854,572,886,606
6070,4,977,608,1013,652
6071,0,1004,615,1031,649
6071,1,852,595,890,637
6071,2,990,580,1024,624
6071,3,854,572,886,606
6071,4,977,608,1013,652
6072,0,1004,615,1031,649
6072,1,852,595,890,637
6072,2,990,580,1024,624
6072,3,854,572,886,606
6072,4,977,608,1013,652
6073,0,1004,615,1031,649
6073,1,852,595,890,637
6073,2,990,580,1024,624
6073,3,854,572,886,606
6073,4,977,608,1013,652
6074,0,1004,615,1031,649
6074,1,852,595,890,637
6074,2,990,580,1024,624
6074,3,854,572,886,606
6074,4,977,608,1013,652
6075,0,1004,615,1031,649
6075,1,852,595,890,637
6075,2,990,580,1024,624
6075,3,854,572,886,606
6075,4,977,608,1013,652
6076,0,1004,615,1031,649
6076,1,852,595,890,637
6076,2,990,580,1024,624
6076,3,854,572,886,606
6076,4,977,608,1013,652
6077,0,1004,615,1031,649
6077,1,852,595,890,637
6077,2,990,580,1024,624
6077,3,854,572,886,606
6077,4,977,608,1013,652
6078,0,1004,615,1031,649
6078,1,852,595,890,637
6078,2,990,580,1024,624
6078,3,854,572,886,606
6078,4,977,608,1013,652
6079,0,1004,615,1031,649
6079,1,852,595,890,637
6079,2,990,580,1024,624
6079,3,854,572,886,606
6079,4,977,608,1013,652
6080,0,1004,615,1031,649
6080,1,852,595,890,637
6080,2,990,580,1024,624
6080,3,854,572,886,606
6080,4,977,608,1013,652
6081,0,1004,615,1031,649
6081,1,852,595,890,637
