,Propositions
1663,"purple = 40, red = 10"
1664,"purple = 50, red = 10"
1665,"red = 10, yellow = 10"
1666,"red = 10, yellow = 20"
1667,"red = 10, yellow = 30"
1668,"red = 10, yellow = 40"
1669,"red = 10, yellow = 50"
1670,"blue = 10, red = 20"
1671,"blue = 20, red = 20"
1672,"blue = 30, red = 20"
1673,"blue = 40, red = 20"
1674,"blue = 50, red = 20"
1675,"green = 10, red = 20"
1676,"green = 20, red = 20"
1677,"green = 30, red = 20"
1678,"green = 40, red = 20"
1679,"green = 50, red = 20"
1680,"purple = 10, red = 20"
1681,"purple = 20, red = 20"
1682,"purple = 30, red = 20"
1683,"purple = 40, red = 20"
1684,"purple = 50, red = 20"
1685,"red = 20, yellow = 10"
1686,"red = 20, yellow = 20"
1687,"red = 20, yellow = 30"
1688,"red = 20, yellow = 40"
1689,"red = 20, yellow = 50"
1690,"blue = 10, red = 30"
1691,"blue = 20, red = 30"
1692,"blue = 30, red = 30"
1693,"blue = 40, red = 30"
1694,"blue = 50, red = 30"
1695,"green = 10, red = 30"
1696,"green = 20, red = 30"
1697,"green = 30, red = 30"
1698,"green = 40, red = 30"
1699,"green = 50, red = 30"
1700,"purple = 10, red = 30"
1701,"purple = 20, red = 30"
1702,"purple = 30, red = 30"
1703,"purple = 40, red = 30"
1704,"purple = 50, red = 30"
1705,"red = 30, yellow = 10"
1706,"red = 30, yellow = 20"
1707,"red = 30, yellow = 30"
1708,"red = 30, yellow = 40"
1709,"red = 30, yellow = 50"
1710,"blue = 10, red = 40"
1711,"blue = 20, red = 40"
1712,"blue = 30, red = 40"
1713,"blue = 40, red = 40"
1714,"blue = 50, red = 40"
1715,"green = 10, red = 40"
1716,"green = 20, red = 40"
1717,"green = 30, red = 40"
1718,"green = 40, red = 40"
1719,"green = 50, red = 40"
1720,"purple = 10, red = 40"
1721,"purple = 20, red = 40"
1722,"purple = 30, red = 40"
1723,"purple = 40, red = 40"
1724,"purple = 50, red = 40"
1725,"red = 40, yellow = 10"
1726,"red = 40, yellow = 20"
1727,"red = 40, yellow = 30"
1728,"red = 40, yellow = 40"
1729,"red = 40, yellow = 50"
1730,"blue = 10, red = 50"
1731,"blue = 20, red = 50"
1732,"blue = 30, red = 50"
1733,"blue = 40, red = 50"
1734,"blue = 50, red = 50"
1735,"green = 10, red = 50"
1736,"green = 20, red = 50"
1737,"green = 30, red = 50"
1738,"green = 40, red = 50"
1739,"green = 50, red = 50"
1740,"purple = 10, red = 50"
1741,"purple = 20, red = 50"
1742,"purple = 30, red = 50"
1743,"purple = 40, red = 50"
1744,"purple = 50, red = 50"
1745,"red = 50, yellow = 10"
1746,"red = 50, yellow = 20"
1747,"red = 50, yellow = 30"
1748,"red = 50, yellow = 40"
1749,"red = 50, yellow = 50"
1750,"blue = 10, green = 10"
1751,"blue = 10, green = 20"
1752,"blue = 10, green = 30"
1753,"blue = 10, green = 40"
1754,"blue = 10, green = 50"
1755,"blue = 10, purple = 10"
1756,"blue = 10, purple = 20"
1757,"blue = 10, purple = 30"
1758,"blue = 10, purple = 40"
1759,"blue = 10, purple = 50"
1760,"blue = 10, yellow = 10"
1761,"blue = 10, yellow = 20"
1762,"blue = 10, yellow = 30"
1763,"blue = 10, yellow = 40"
1764,"blue = 10, yellow = 50"
1765,"blue = 20, green = 10"
1766,"blue = 20, green = 20"
1767,"blue = 20, green = 30"
1768,"blue = 20, green = 40"
1769,"blue = 20, green = 50"
1770,"blue = 20, purple = 10"
1771,"blue = 20, purple = 20"
1772,"blue = 20, purple = 30"
1773,"blue = 20, purple = 40"
1774,"blue = 20, purple = 50"
1775,"blue = 20, yellow = 10"
1776,"blue = 20, yellow = 20"
1777,"blue = 20, yellow = 30"
1778,"blue = 20, yellow = 40"
1779,"blue = 20, yellow = 50"
1780,"blue = 30, green = 10"
1781,"blue = 30, green = 20"
1782,"blue = 30, green = 30"
1783,"blue = 30, green = 40"
1784,"blue = 30, green = 50"
1785,"blue = 30, purple = 10"
1786,"blue = 30, purple = 20"
1787,"blue = 30, purple = 30"
1788,"blue = 30, purple = 40"
1789,"blue = 30, purple = 50"
1790,"blue = 30, yellow = 10"
1791,"blue = 30, yellow = 20"
1792,"blue = 30, yellow = 30"
1793,"blue = 30, yellow = 40"
1794,"blue = 30, yellow = 50"
1795,"blue = 40, green = 10"
1796,"blue = 40, green = 20"
1797,"blue = 40, green = 30"
1798,"blue = 40, green = 40"
1799,"blue = 40, green = 50"
1800,"blue = 40, purple = 10"
1801,"blue = 40, purple = 20"
1802,"blue = 40, purple = 30"
1803,"blue = 40, purple = 40"
1804,"blue = 40, purple = 50"
1805,"blue = 40, yellow = 10"
1806,"blue = 40, yellow = 20"
1807,"blue = 40, yellow = 30"
1808,"blue = 40, yellow = 40"
1809,"blue = 40, yellow = 50"
1810,"blue = 50, green = 10"
1811,"blue = 50, green = 20"
1812,"blue = 50, green = 30"
1813,"blue = 50, green = 40"
1814,"blue = 50, green = 50"
1815,"blue = 50, purple = 10"
1816,"blue = 50, purple = 20"
1817,"blue = 50, purple = 30"
1818,"blue = 50, purple = 40"
1819,"blue = 50, purple = 50"
1820,"blue = 50, yellow = 10"
1821,"blue = 50, yellow = 20"
1822,"blue = 50, yellow = 30"
1823,"blue = 50, yellow = 40"
1824,"blue = 50, yellow = 50"
1825,"green = 10, purple = 10"
1826,"green = 10, purple = 20"
1827,"green = 10, purple = 30"
1828,"green = 10, purple = 40"
1829,"green = 10, purple = 50"
1830,"green = 10, yellow = 10"
1831,"green = 10, yellow = 20"
1832,"green = 10, yellow = 30"
1833,"green = 10, yellow = 40"
1834,"green = 10, yellow = 50"
1835,"green = 20, purple = 10"
1836,"green = 20, purple = 20"
1837,"green = 20, purple = 30"
1838,"green = 20, purple = 40"
1839,"green = 20, purple = 50"
1840,"green = 20, yellow = 10"
1841,"green = 20, yellow = 20"
1842,"green = 20, yellow = 30"
1843,"green = 20, yellow = 40"
1844,"green = 20, yellow = 50"
1845,"green = 30, purple = 10"
1846,"green = 30, purple = 20"
1847,"green = 30, purple = 30"
1848,"green = 30, purple = 40"
1849,"green = 30, purple = 50"
1850,"green = 30, yellow = 10"
1851,"green = 30, yellow = 20"
1852,"green = 30, yellow = 30"
1853,"green = 30, yellow = 40"
1854,"green = 30, yellow = 50"
1855,"green = 40, purple = 10"
1856,"green = 40, purple = 20"
1857,"green = 40, purple = 30"
1858,"green = 40, purple = 40"
1859,"green = 40, purple = 50"
1860,"green = 40, yellow = 10"
1861,"green = 40, yellow = 20"
1862,"green = 40, yellow = 30"
1863,"green = 40, yellow = 40"
1864,"green = 40, yellow = 50"
1865,"green = 50, purple = 10"
1866,"green = 50, purple = 20"
1867,"green = 50, purple = 30"
1868,"green = 50, purple = 40"
1869,"green = 50, purple = 50"
1870,"green = 50, yellow = 10"
1871,"green = 50, yellow = 20"
1872,"green = 50, yellow = 30"
1873,"green = 50, yellow = 40"
1874,"green = 50, yellow = 50"
1875,"purple = 10, yellow = 10"
1876,"purple = 10, yellow = 20"
1877,"purple = 10, yellow = 30"
1878,"purple = 10, yellow = 40"
1879,"purple = 10, yellow = 50"
1880,"purple = 20, yellow = 10"
1881,"purple = 20, yellow = 20"
1882,"purple = 20, yellow = 30"
1883,"purple = 20, yellow = 40"
1884,"purple = 20, yellow = 50"
1885,"purple = 30, yellow = 10"
1886,"purple = 30, yellow = 20"
1887,"purple = 30, yellow = 30"
1888,"purple = 30, yellow = 40"
1889,"purple = 30, yellow = 50"
1890,"purple = 40, yellow = 10"
1891,"purple = 40, yellow = 20"
1892,"purple = 40, yellow = 30"
1893,"purple = 40, yellow = 40"
1894,"purple = 40, yellow = 50"
1895,"purple = 50, yellow = 10"
1896,"purple = 50, yellow = 20"
1897,"purple = 50, yellow = 30"
1898,"purple = 50, yellow = 40"
1899,"purple = 50, yellow = 50"
1900,"blue = 10, green = 10, purple = 10, red = 10"
1901,"blue = 10, green = 10, purple = 20, red = 10"
1902,"blue = 10, green = 10, purple = 30, red = 10"
1903,"blue = 10, green = 10, purple = 40, red = 10"
1904,"blue = 10, green = 10, purple = 50, red = 10"
1905,"blue = 10, green = 10, red = 10, yellow = 10"
1906,"blue = 10, green = 10, red = 10, yellow = 20"
1907,"blue = 10, green = 10, red = 10, yellow = 30"
1908,"blue = 10, green = 10, red = 10, yellow = 40"
1909,"blue = 10, green = 10, red = 10, yellow = 50"
1910,"blue = 10, green = 20, purple = 10, red = 10"
1911,"blue = 10, green = 20, purple = 20, red = 10"
1912,"blue = 10, green = 20, purple = 30, red = 10"
1913,"blue = 10, green = 20, purple = 40, red = 10"
1914,"blue = 10, green = 20, purple = 50, red = 10"
1915,"blue = 10, green = 20, red = 10, yellow = 10"
1916,"blue = 10, green = 20, red = 10, yellow = 20"
1917,"blue = 10, green = 20, red = 10, yellow = 30"
1918,"blue = 10, green = 20, red = 10, yellow = 40"
1919,"blue = 10, green = 20, red = 10, yellow = 50"
1920,"blue = 10, green = 30, purple = 10, red = 10"
1921,"blue = 10, green = 30, purple = 20, red = 10"
1922,"blue = 10, green = 30, purple = 30, red = 10"
1923,"blue = 10, green = 30, purple = 40, red = 10"
1924,"blue = 10, green = 30, purple = 50, red = 10"
1925,"blue = 10, green = 30, red = 10, yellow = 10"
1926,"blue = 10, green = 30, red = 10, yellow = 20"
1927,"blue = 10, green = 30, red = 10, yellow = 30"
1928,"blue = 10, green = 30, red = 10, yellow = 40"
1929,"blue = 10, green = 30, red = 10, yellow = 50"
1930,"blue = 10, green = 40, purple = 10, red = 10"
1931,"blue = 10, green = 40, purple = 20, red = 10"
1932,"blue = 10, green = 40, purple = 30, red = 10"
1933,"blue = 10, green = 40, purple = 40, red = 10"
1934,"blue = 10, green = 40, purple = 50, red = 10"
1935,"blue = 10, green = 40, red = 10, yellow = 10"
1936,"blue = 10, green = 40, red = 10, yellow = 20"
1937,"blue = 10, green = 40, red = 10, yellow = 30"
1938,"blue = 10, green = 40, red = 10, yellow = 40"
1939,"blue = 10, green = 40, red = 10, yellow = 50"
1940,"blue = 10, green = 50, purple = 10, red = 10"
1941,"blue = 10, green = 50, purple = 20, red = 10"
1942,"blue = 10, green = 50, purple = 30, red = 10"
1943,"blue = 10, green = 50, purple = 40, red = 10"
1944,"blue = 10, green = 50, purple = 50, red = 10"
1945,"blue = 10, green = 50, red = 10, yellow = 10"
1946,"blue = 10, green = 50, red = 10, yellow = 20"
1947,"blue = 10, green = 50, red = 10, yellow = 30"
1948,"blue = 10, green = 50, red = 10, yellow = 40"
1949,"blue = 10, green = 50, red = 10, yellow = 50"
1950,"blue = 10, purple = 10, red = 10, yellow = 10"
1951,"blue = 10, purple = 10, red = 10, yellow = 20"
1952,"blue = 10, purple = 10, red = 10, yellow = 30"
1953,"blue = 10, purple = 10, red = 10, yellow = 40"
1954,"blue = 10, purple = 10, red = 10, yellow = 50"
1955,"blue = 10, purple = 20, red = 10, yellow = 10"
1956,"blue = 10, purple = 20, red = 10, yellow = 20"
1957,"blue = 10, purple = 20, red = 10, yellow = 30"
1958,"blue = 10, purple = 20, red = 10, yellow = 40"
1959,"blue = 10, purple = 20, red = 10, yellow = 50"
1960,"blue = 10, purple = 30, red = 10, yellow = 10"
1961,"blue = 10, purple = 30, red = 10, yellow = 20"
1962,"blue = 10, purple = 30, red = 10, yellow = 30"
1963,"blue = 10, purple = 30, red = 10, yellow = 40"
1964,"blue = 10, purple = 30, red = 10, yellow = 50"
1965,"blue = 10, purple = 40, red = 10, yellow = 10"
1966,"blue = 10, purple = 40, red = 10, yellow = 20"
1967,"blue = 10, purple = 40, red = 10, yellow = 30"
1968,"blue = 10, purple = 40, red = 10, yellow = 40"
1969,"blue = 10, purple = 40, red = 10, yellow = 50"
1970,"blue = 10, purple = 50, red = 10, yellow = 10"
1971,"blue = 10, purple = 50, red = 10, yellow = 20"
1972,"blue = 10, purple = 50, red = 10, yellow = 30"
1973,"blue = 10, purple = 50, red = 10, yellow = 40"
1974,"blue = 10, purple = 50, red = 10, yellow = 50"
1975,"blue = 20, green = 10, purple = 10, red = 10"
1976,"blue = 20, green = 10, purple = 20, red = 10"
1977,"blue = 20, green = 10, purple = 30, red = 10"
1978,"blue = 20, green = 10, purple = 40, red = 10"
1979,"blue = 20, green = 10, purple = 50, red = 10"
1980,"blue = 20, green = 10, red = 10, yellow = 10"
1981,"blue = 20, green = 10, red = 10, yellow = 20"
1982,"blue = 20, green = 10, red = 10, yellow = 30"
1983,"blue = 20, green = 10, red = 10, yellow = 40"
1984,"blue = 20, green = 10, red = 10, yellow = 50"
1985,"blue = 20, green = 20, purple = 10, red = 10"
1986,"blue = 20, green = 20, purple = 20, red = 10"
1987,"blue = 20, green = 20, purple = 30, red = 10"
1988,"blue = 20, green = 20, purple = 40, red = 10"
1989,"blue = 20, green = 20, purple = 50, red = 10"
1990,"blue = 20, green = 20, red = 10, yellow = 10"
1991,"blue = 20, green = 20, red = 10, yellow = 20"
1992,"blue = 20, green = 20, red = 10, yellow = 30"
1993,"blue = 20, green = 20, red = 10, yellow = 40"
1994,"blue = 20, green = 20, red = 10, yellow = 50"
1995,"blue = 20, green = 30, purple = 10, red = 10"
1996,"blue = 20, green = 30, purple = 20, red = 10"
1997,"blue = 20, green = 30, purple = 30, red = 10"
1998,"blue = 20, green = 30, purple = 40, red = 10"
1999,"blue = 20, green = 30, purple = 50, red = 10"
2000,"blue = 20, green = 30, red = 10, yellow = 10"
2001,"blue = 20, green = 30, red = 10, yellow = 20"
2002,"blue = 20, green = 30, red = 10, yellow = 30"
2003,"blue = 20, green = 30, red = 10, yellow = 40"
2004,"blue = 20, green = 30, red = 10, yellow = 50"
2005,"blue = 20, green = 40, purple = 10, red = 10"
2006,"blue = 20, green = 40, purple = 20, red = 10"
2007,"blue = 20, green = 40, purple = 30, red = 10"
2008,"blue = 20, green = 40, purple = 40, red = 10"
2009,"blue = 20, green = 40, purple = 50, red = 10"
2010,"blue = 20, green = 40, red = 10, yellow = 10"
2011,"blue = 20, green = 40, red = 10, yellow = 20"
2012,"blue = 20, green = 40, red = 10, yellow = 30"
2013,"blue = 20, green = 40, red = 10, yellow = 40"
2014,"blue = 20, green = 40, red = 10, yellow = 50"
2015,"blue = 20, green = 50, purple = 10, red = 10"
2016,"blue = 20, green = 50, purple = 20, red = 10"
2017,"blue = 20, green = 50, purple = 30, red = 10"
2018,"blue = 20, green = 50, purple = 40, red = 10"
2019,"blue = 20, green = 50, purple = 50, red = 10"
2020,"blue = 20, green = 50, red = 10, yellow = 10"
2021,"blue = 20, green = 50, red = 10, yellow = 20"
2022,"blue = 20, green = 50, red = 10, yellow = 30"
2023,"blue = 20, green = 50, red = 10, yellow = 40"
2024,"blue = 20, green = 50, red = 10, yellow = 50"
2025,"blue = 20, purple = 10, red = 10, yellow = 10"
2026,"blue = 20, purple = 10, red = 10, yellow = 20"
2027,"blue = 20, purple = 10, red = 10, yellow = 30"
2028,"blue = 20, purple = 10, red = 10, yellow = 40"
2029,"blue = 20, purple = 10, red = 10, yellow = 50"
2030,"blue = 20, purple = 20, red = 10, yellow = 10"
2031,"blue = 20, purple = 20, red = 10, yellow = 20"
2032,"blue = 20, purple = 20, red = 10, yellow = 30"
2033,"blue = 20, purple = 20, red = 10, yellow = 40"
2034,"blue = 20, purple = 20, red = 10, yellow = 50"
2035,"blue = 20, purple = 30, red = 10, yellow = 10"
2036,"blue = 20, purple = 30, red = 10, yellow = 20"
2037,"blue = 20, purple = 30, red = 10, yellow = 30"
2038,"blue = 20, purple = 30, red = 10, yellow = 40"
2039,"blue = 20, purple = 30, red = 10, yellow = 50"
2040,"blue = 20, purple = 40, red = 10, yellow = 10"
2041,"blue = 20, purple = 40, red = 10, yellow = 20"
2042,"blue = 20, purple = 40, red = 10, yellow = 30"
2043,"blue = 20, purple = 40, red = 10, yellow = 40"
2044,"blue = 20, purple = 40, red = 10, yellow = 50"
2045,"blue = 20, purple = 50, red = 10, yellow = 10"
2046,"blue = 20, purple = 50, red = 10, yellow = 20"
2047,"blue = 20, purple = 50, red = 10, yellow = 30"
2048,"blue = 20, purple = 50, red = 10, yellow = 40"
2049,"blue = 20, purple = 50, red = 10, yellow = 50"
2050,"blue = 30, green = 10, purple = 10, red = 10"
2051,"blue = 30, green = 10, purple = 20, red = 10"
2052,"blue = 30, green = 10, purple = 30, red = 10"
2053,"blue = 30, green = 10, purple = 40, red = 10"
2054,"blue = 30, green = 10, purple = 50, red = 10"
2055,"blue = 30, green = 10, red = 10, yellow = 10"
2056,"blue = 30, green = 10, red = 10, yellow = 20"
2057,"blue = 30, green = 10, red = 10, yellow = 30"
2058,"blue = 30, green = 10, red = 10, yellow = 40"
2059,"blue = 30, green = 10, red = 10, yellow = 50"
2060,"blue = 30, green = 20, purple = 10, red = 10"
2061,"blue = 30, green = 20, purple = 20, red = 10"
2062,"blue = 30, green = 20, purple = 30, red = 10"
2063,"blue = 30, green = 20, purple = 40, red = 10"
2064,"blue = 30, green = 20, purple = 50, red = 10"
2065,"blue = 30, green = 20, red = 10, yellow = 10"
2066,"blue = 30, green = 20, red = 10, yellow = 20"
2067,"blue = 30, green = 20, red = 10, yellow = 30"
2068,"blue = 30, green = 20, red = 10, yellow = 40"
2069,"blue = 30, green = 20, red = 10, yellow = 50"
2070,"blue = 30, green = 30, purple = 10, red = 10"
2071,"blue = 30, green = 30, purple = 20, red = 10"
2072,"blue = 30, green = 30, purple = 30, red = 10"
2073,"blue = 30, green = 30, purple = 40, red = 10"
2074,"blue = 30, green = 30, purple = 50, red = 10"
2075,"blue = 30, green = 30, red = 10, yellow = 10"
2076,"blue = 30, green = 30, red = 10, yellow = 20"
2077,"blue = 30, green = 30, red = 10, yellow = 30"
2078,"blue = 30, green = 30, red = 10, yellow = 40"
2079,"blue = 30, green = 30, red = 10, yellow = 50"
2080,"blue = 30, green = 40, purple = 10, red = 10"
2081,"blue = 30, green = 40, purple = 20, red = 10"
2082,"blue = 30, green = 40, purple = 30, red = 10"
2083,"blue = 30, green = 40, purple = 40, red = 10"
2084,"blue = 30, green = 40, purple = 50, red = 10"
2085,"blue = 30, green = 40, red = 10, yellow = 10"
2086,"blue = 30, green = 40, red = 10, yellow = 20"
2087,"blue = 30, green = 40, red = 10, yellow = 30"
2088,"blue = 30, green = 40, red = 10, yellow = 40"
2089,"blue = 30, green = 40, red = 10, yellow = 50"
2090,"blue = 30, green = 50, purple = 10, red = 10"
2091,"blue = 30, green = 50, purple = 20, red = 10"
2092,"blue = 30, green = 50, purple = 30, red = 10"
2093,"blue = 30, green = 50, purple = 40, red = 10"
2094,"blue = 30, green = 50, purple = 50, red = 10"
2095,"blue = 30, green = 50, red = 10, yellow = 10"
2096,"blue = 30, green = 50, red = 10, yellow = 20"
2097,"blue = 30, green = 50, red = 10, yellow = 30"
2098,"blue = 30, green = 50, red = 10, yellow = 40"
2099,"blue = 30, green = 50, red = 10, yellow = 50"
2100,"blue = 30, purple = 10, red = 10, yellow = 10"
2101,"blue = 30, purple = 10, red = 10, yellow = 20"
2102,"blue = 30, purple = 10, red = 10, yellow = 30"
2103,"blue = 30, purple = 10, red = 10, yellow = 40"
2104,"blue = 30, purple = 10, red = 10, yellow = 50"
2105,"blue = 30, purple = 20, red = 10, yellow = 10"
2106,"blue = 30, purple = 20, red = 10, yellow = 20"
2107,"blue = 30, purple = 20, red = 10, yellow = 30"
2108,"blue = 30, purple = 20, red = 10, yellow = 40"
2109,"blue = 30, purple = 20, red = 10, yellow = 50"
2110,"blue = 30, purple = 30, red = 10, yellow = 10"
2111,"blue = 30, purple = 30, red = 10, yellow = 20"
2112,"blue = 30, purple = 30, red = 10, yellow = 30"
2113,"blue = 30, purple = 30, red = 10, yellow = 40"
2114,"blue = 30, purple = 30, red = 10, yellow = 50"
2115,"blue = 30, purple = 40, red = 10, yellow = 10"
2116,"blue = 30, purple = 40, red = 10, yellow = 20"
2117,"blue = 30, purple = 40, red = 10, yellow = 30"
2118,"blue = 30, purple = 40, red = 10, yellow = 40"
2119,"blue = 30, purple = 40, red = 10, yellow = 50"
2120,"blue = 30, purple = 50, red = 10, yellow = 10"
2121,"blue = 30, purple = 50, red = 10, yellow = 20"
2122,"blue = 30, purple = 50, red = 10, yellow = 30"
2123,"blue = 30, purple = 50, red = 10, yellow = 40"
2124,"blue = 30, purple = 50, red = 10, yellow = 50"
2125,"blue = 40, green = 10, purple = 10, red = 10"
2126,"blue = 40, green = 10, purple = 20, red = 10"
2127,"blue = 40, green = 10, purple = 30, red = 10"
2128,"blue = 40, green = 10, purple = 40, red = 10"
2129,"blue = 40, green = 10, purple = 50, red = 10"
2130,"blue = 40, green = 10, red = 10, yellow = 10"
2131,"blue = 40, green = 10, red = 10, yellow = 20"
2132,"blue = 40, green = 10, red = 10, yellow = 30"
2133,"blue = 40, green = 10, red = 10, yellow = 40"
2134,"blue = 40, green = 10, red = 10, yellow = 50"
2135,"blue = 40, green = 20, purple = 10, red = 10"
2136,"blue = 40, green = 20, purple = 20, red = 10"
2137,"blue = 40, green = 20, purple = 30, red = 10"
2138,"blue = 40, green = 20, purple = 40, red = 10"
2139,"blue = 40, green = 20, purple = 50, red = 10"
2140,"blue = 40, green = 20, red = 10, yellow = 10"
2141,"blue = 40, green = 20, red = 10, yellow = 20"
2142,"blue = 40, green = 20, red = 10, yellow = 30"
2143,"blue = 40, green = 20, red = 10, yellow = 40"
2144,"blue = 40, green = 20, red = 10, yellow = 50"
2145,"blue = 40, green = 30, purple = 10, red = 10"
2146,"blue = 40, green = 30, purple = 20, red = 10"
2147,"blue = 40, green = 30, purple = 30, red = 10"
2148,"blue = 40, green = 30, purple = 40, red = 10"
2149,"blue = 40, green = 30, purple = 50, red = 10"
2150,"blue = 40, green = 30, red = 10, yellow = 10"
2151,"blue = 40, green = 30, red = 10, yellow = 20"
2152,"blue = 40, green = 30, red = 10, yellow = 30"
2153,"blue = 40, green = 30, red = 10, yellow = 40"
2154,"blue = 40, green = 30, red = 10, yellow = 50"
2155,"blue = 40, green = 40, purple = 10, red = 10"
2156,"blue = 40, green = 40, purple = 20, red = 10"
2157,"blue = 40, green = 40, purple = 30, red = 10"
2158,"blue = 40, green = 40, purple = 40, red = 10"
2159,"blue = 40, green = 40, purple = 50, red = 10"
2160,"blue = 40, green = 40, red = 10, yellow = 10"
2161,"blue = 40, green = 40, red = 10, yellow = 20"
2162,"blue = 40, green = 40, red = 10, yellow = 30"
2163,"blue = 40, green = 40, red = 10, yellow = 40"
2164,"blue = 40, green = 40, red = 10, yellow = 50"
2165,"blue = 40, green = 50, purple = 10, red = 10"
2166,"blue = 40, green = 50, purple = 20, red = 10"
2167,"blue = 40, green = 50, purple = 30, red = 10"
2168,"blue = 40, green = 50, purple = 40, red = 10"
2169,"blue = 40, green = 50, purple = 50, red = 10"
2170,"blue = 40, green = 50, red = 10, yellow = 10"
2171,"blue = 40, green = 50, red = 10, yellow = 20"
2172,"blue = 40, green = 50, red = 10, yellow = 30"
2173,"blue = 40, green = 50, red = 10, yellow = 40"
2174,"blue = 40, green = 50, red = 10, yellow = 50"
2175,"blue = 40, purple = 10, red = 10, yellow = 10"
2176,"blue = 40, purple = 10, red = 10, yellow = 20"
2177,"blue = 40, purple = 10, red = 10, yellow = 30"
2178,"blue = 40, purple = 10, red = 10, yellow = 40"
2179,"blue = 40, purple = 10, red = 10, yellow = 50"
2180,"blue = 40, purple = 20, red = 10, yellow = 10"
2181,"blue = 40, purple = 20, red = 10, yellow = 20"
2182,"blue = 40, purple = 20, red = 10, yellow = 30"
2183,"blue = 40, purple = 20, red = 10, yellow = 40"
2184,"blue = 40, purple = 20, red = 10, yellow = 50"
2185,"blue = 40, purple = 30, red = 10, yellow = 10"
2186,"blue = 40, purple = 30, red = 10, yellow = 20"
2187,"blue = 40, purple = 30, red = 10, yellow = 30"
2188,"blue = 40, purple = 30, red = 10, yellow = 40"
2189,"blue = 40, purple = 30, red = 10, yellow = 50"
2190,"blue = 40, purple = 40, red = 10, yellow = 10"
2191,"blue = 40, purple = 40, red = 10, yellow = 20"
2192,"blue = 40, purple = 40, red = 10, yellow = 30"
2193,"blue = 40, purple = 40, red = 10, yellow = 40"
2194,"blue = 40, purple = 40, red = 10, yellow = 50"
2195,"blue = 40, purple = 50, red = 10, yellow = 10"
2196,"blue = 40, purple = 50, red = 10, yellow = 20"
2197,"blue = 40, purple = 50, red = 10, yellow = 30"
2198,"blue = 40, purple = 50, red = 10, yellow = 40"
2199,"blue = 40, purple = 50, red = 10, yellow = 50"
2200,"blue = 50, green = 10, purple = 10, red = 10"
2201,"blue = 50, green = 10, purple = 20, red = 10"
2202,"blue = 50, green = 10, purple = 30, red = 10"
2203,"blue = 50, green = 10, purple = 40, red = 10"
2204,"blue = 50, green = 10, purple = 50, red = 10"
2205,"blue = 50, green = 10, red = 10, yellow = 10"
2206,"blue = 50, green = 10, red = 10, yellow = 20"
2207,"blue = 50, green = 10, red = 10, yellow = 30"
2208,"blue = 50, green = 10, red = 10, yellow = 40"
2209,"blue = 50, green = 10, red = 10, yellow = 50"
2210,"blue = 50, green = 20, purple = 10, red = 10"
2211,"blue = 50, green = 20, purple = 20, red = 10"
2212,"blue = 50, green = 20, purple = 30, red = 10"
2213,"blue = 50, green = 20, purple = 40, red = 10"
2214,"blue = 50, green = 20, purple = 50, red = 10"
2215,"blue = 50, green = 20, red = 10, yellow = 10"
2216,"blue = 50, green = 20, red = 10, yellow = 20"
2217,"blue = 50, green = 20, red = 10, yellow = 30"
2218,"blue = 50, green = 20, red = 10, yellow = 40"
2219,"blue = 50, green = 20, red = 10, yellow = 50"
2220,"blue = 50, green = 30, purple = 10, red = 10"
2221,"blue = 50, green = 30, purple = 20, red = 10"
2222,"blue = 50, green = 30, purple = 30, red = 10"
2223,"blue = 50, green = 30, purple = 40, red = 10"
2224,"blue = 50, green = 30, purple = 50, red = 10"
2225,"blue = 50, green = 30, red = 10, yellow = 10"
2226,"blue = 50, green = 30, red = 10, yellow = 20"
2227,"blue = 50, green = 30, red = 10, yellow = 30"
2228,"blue = 50, green = 30, red = 10, yellow = 40"
2229,"blue = 50, green = 30, red = 10, yellow = 50"
2230,"blue = 50, green = 40, purple = 10, red = 10"
2231,"blue = 50, green = 40, purple = 20, red = 10"
2232,"blue = 50, green = 40, purple = 30, red = 10"
2233,"blue = 50, green = 40, purple = 40, red = 10"
2234,"blue = 50, green = 40, purple = 50, red = 10"
2235,"blue = 50, green = 40, red = 10, yellow = 10"
2236,"blue = 50, green = 40, red = 10, yellow = 20"
2237,"blue = 50, green = 40, red = 10, yellow = 30"
2238,"blue = 50, green = 40, red = 10, yellow = 40"
2239,"blue = 50, green = 40, red = 10, yellow = 50"
2240,"blue = 50, green = 50, purple = 10, red = 10"
2241,"blue = 50, green = 50, purple = 20, red = 10"
2242,"blue = 50, green = 50, purple = 30, red = 10"
2243,"blue = 50, green = 50, purple = 40, red = 10"
2244,"blue = 50, green = 50, purple = 50, red = 10"
2245,"blue = 50, green = 50, red = 10, yellow = 10"
2246,"blue = 50, green = 50, red = 10, yellow = 20"
2247,"blue = 50, green = 50, red = 10, yellow = 30"
2248,"blue = 50, green = 50, red = 10, yellow = 40"
2249,"blue = 50, green = 50, red = 10, yellow = 50"
2250,"blue = 50, purple = 10, red = 10, yellow = 10"
2251,"blue = 50, purple = 10, red = 10, yellow = 20"
2252,"blue = 50, purple = 10, red = 10, yellow = 30"
2253,"blue = 50, purple = 10, red = 10, yellow = 40"
2254,"blue = 50, purple = 10, red = 10, yellow = 50"
2255,"blue = 50, purple = 20, red = 10, yellow = 10"
2256,"blue = 50, purple = 20, red = 10, yellow = 20"
2257,"blue = 50, purple = 20, red = 10, yellow = 30"
2258,"blue = 50, purple = 20, red = 10, yellow = 40"
